siteName,regex,matchName
Gedney Drove End,Boatmere (Scrape|Creek),Boatmere ScrapeCreek
Gedney Drove End,Gedney Drove End,Gedney Drove End Village
Gedney Dyke,Gedney Dyke,Gedney Dyke
Gedney Hill,Gedney Hill,Gedney Hill
Gedney Marsh,Cox'?s Creek,Cox's Creek
Gedney Marsh,Crab'?s Hole,Crab's Hole
Gedney Marsh,Gedney Marsh,Gedney Marsh
Gelston,\bGelston\b,Gelston
Gibraltar Point,Freshwater Mere,Freshwater Mere
Gibraltar Point,Gil?bral+t[ae]r Point,Gibraltar Point
Gibraltar Point,Jackson'?s Marsh,Jackson's Marsh
Gibraltar Point,Lagoon,Lagoon
Gibraltar Point,Tennyson'?s Sands,Tennyson's Sands
Gipsey Bridge,Gipsey Bridge,Gipsey Bridge
Glentham,Bishop\s?bridge,Bishopbridge
Glentham,\bGlentham\b,Glentham
Glentworth,\bGlentworth\b,Glentworth
Goltho,\bGoltho\b,Goltho
Goltho,Great West Wood,Great West Wood
Goltho,New Plantation,New Plantation
Gosberton,(Burton|Boston) Road(\sBrick)(\sPits?),Boston Road Brick Pits LWT  NR
Gosberton,\bGosberton\b,Gosberton
Gosberton,\bRisegate\b,Risegate
Goulceby,\bGoulceby\b,Goulceby
Goxhill,Chapel Farm,Chapel Farm
Goxhill,Chapel Field R(oa)?d\.?,Chapel Field Road
Goxhill,Dawson City,Dawson City Clay Pits
Goxhill,\bGoxhill\b,Goxhill
Goxhill,Skitter Ness,Skitter Ness
Grainsby,\bGrainsby\b,Grainsby
Grainthorpe,\bGrainthorpe\b,Grainthorpe village
Grainthorpe,\bLudney\b,Ludney
Grainthorpe,\bWragholme\b,Wragholme
Graizelound,\bGrai(z|s)elound\b,Graizelound
Grantham,Gonerby Hill Foot,Gonerby Hill Foot
Grantham,^(?!.*(Aisby|Manthorpe|Belton)).*\bGrantham\b,Grantham
Grantham,Hall'?s Hill,Hall's Hill
Grasby,\bAudleby\b,Audleby
Grasby,\bClixby\b,Clixby
Grasby,\bGrasby\b,Grasby
Grayingham,\bGrayingham\b,Grayingham
Great Carlton,Great Carlton,Great Carlton
Great Coates,Great Coa?tes,Great Coates
Great Gonerby,Gonerby Moor,Gonerby Moor
Great Gonerby,(Gonerby|Grantham) (Moor|Services),Gonerby Moor Services
Great Gonerby,Gonerby Woods?,Gonerby Woods
Great Gonerby,Great Gonerby,Great Gonerby
Great Hale,Great Hale,Great Hale
Great Limber,Great Limber,Great Limber
Great Limber,Halliday Hills?,Halliday Hills Woods
Great Limber,Hendale,Hendale Wood
Great Limber,Mausoleum Woods,Mausoleum Woods
Great Ponton,Great Ponton,Great Ponton
